Date,Price,Open,High,Low,Vol.,Change %
2010-05-14,10620.16,10780.68,10780.68,10509.89,256.5,-1.51
2010-05-17,10625.83,10616.98,10707.3,10424.72,221.91,0.05
2010-05-18,10510.95,10625.45,10760.05,10463.15,246.37,-1.08
2010-05-19,10444.37,10505.7,10558.56,10306.22,266.34,-0.63
2010-05-20,10068.01,10440.21,10440.21,10042.46,360.35,-3.6
2010-05-21,10193.39,10063.93,10225.88,9860.93,438.22,1.25
2010-05-24,10066.57,10193.46,10235.63,10028.78,211.43,-1.24
2010-05-25,10043.75,10061.43,10061.43,9756.11,316.96,-0.23
2010-05-26,9974.45,10045.11,10211.6,9937.79,316.08,-0.69
2010-05-27,10258.99,9971.73,10279.01,9971.73,264.77,2.85
2010-05-28,10136.63,10258.0,10293.45,10078.66,243.72,-1.19
2010-06-01,10024.02,10133.94,10249.27,9976.56,221.9,-1.11
2010-06-02,10249.54,10025.61,10256.57,10007.09,200.85,2.25
2010-06-03,10255.28,10250.67,10348.84,10158.92,176.87,0.06
2010-06-04,9931.97,10249.61,10249.61,9881.11,256.6,-3.15
2010-06-07,9816.49,9931.75,10025.84,9798.73,222.94,-1.16
2010-06-08,9939.98,9812.94,9971.57,9726.33,259.68,1.26
2010-06-09,9899.25,9941.57,10093.33,9859.04,222.68,-0.41
2010-06-10,10172.53,9901.67,10206.61,9901.67,221.73,2.76
2010-06-11,10211.07,10166.78,10235.1,10038.31,187.89,0.38
2010-06-14,10190.89,10211.83,10354.97,10175.02,177.92,-0.2
2010-06-15,10404.77,10192.4,10416.11,10192.4,203.17,2.1
2010-06-16,10409.46,10404.24,10456.39,10289.37,165.7,0.05
2010-06-17,10434.17,10409.98,10479.74,10293.49,181.07,0.24
2010-06-18,10450.64,10435.0,10513.75,10379.6,338.02,0.16
2010-06-21,10442.41,10452.46,10627.19,10387.54,165.19,-0.08
2010-06-22,10293.52,10441.95,10524.78,10276.14,175.75,-1.43
2010-06-23,10298.44,10293.3,10393.89,10195.81,195.1,0.05
2010-06-24,10152.8,10297.08,10314.31,10112.6,244.44,-1.41
2010-06-25,10143.81,10153.48,10261.1,10039.97,434.5,-0.09
2010-06-28,10138.52,10143.05,10246.82,10070.12,164.1,-0.05
2010-06-29,9870.3,10135.72,10135.72,9786.45,290.5,-2.65
2010-06-30,9774.02,9868.34,9951.47,9741.07,235.09,-0.98
2010-07-01,9732.53,9773.27,9834.71,9596.04,262.82,-0.42
2010-07-02,9686.48,9732.23,9798.19,9603.8,199.57,-0.47
2010-07-06,9743.62,9689.21,9880.76,9648.26,216.71,0.59
2010-07-07,10018.28,9736.85,10029.93,9716.38,219.56,2.82
