id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10301050,"83,811.38999997",2025-04-13 10:57:24.654064,Bitcoin,83811.389999974000000000,BTC
10301008,"83,811.24000018",2025-04-13 10:57:04.644655,Bitcoin,83811.240000184500000000,BTC
10300949,"83,810.63500023",2025-04-13 10:56:54.631882,Bitcoin,83810.635000232400000000,BTC
10300887,"83,796.96000011",2025-04-13 10:56:44.614746,Bitcoin,83796.960000108900000000,BTC
10300802,"83,786.20500001",2025-04-13 10:56:24.648039,Bitcoin,83786.205000013200000000,BTC
10300749,"83,782.60499992",2025-04-13 10:56:09.637816,Bitcoin,83782.604999916600000000,BTC
10300707,"83,783.28500015",2025-04-13 10:55:54.655066,Bitcoin,83783.285000149800000000,BTC
10300637,"83,782.03000018",2025-04-13 10:55:44.678623,Bitcoin,83782.030000182600000000,BTC
10300569,"83,784.97000007",2025-04-13 10:55:29.650502,Bitcoin,83784.970000066800000000,BTC
10300503,"83,780.95499972",2025-04-13 10:55:14.621467,Bitcoin,83780.954999724500000000,BTC
10300454,"83,842.63499973",2025-04-13 10:54:54.642198,Bitcoin,83842.634999727300000000,BTC
10300414,"83,839.51499971",2025-04-13 10:54:44.638953,Bitcoin,83839.514999705900000000,BTC
10300360,"83,839.45499966",2025-04-13 10:54:34.664050,Bitcoin,83839.454999656200000000,BTC
10300277,"83,823.75500008",2025-04-13 10:54:24.644477,Bitcoin,83823.755000078600000000,BTC
10300221,"83,827.54499997",2025-04-13 10:54:04.652042,Bitcoin,83827.544999965400000000,BTC
10300166,"83,820.09000019",2025-04-13 10:53:44.602655,Bitcoin,83820.090000193800000000,BTC
10300121,"83,818.83999981",2025-04-13 10:53:34.629939,Bitcoin,83818.839999813500000000,BTC
10300037,"83,821.61499983",2025-04-13 10:53:19.674830,Bitcoin,83821.614999828800000000,BTC
10299986,"83,823.86000025",2025-04-13 10:53:04.706543,Bitcoin,83823.860000248400000000,BTC
10299924,"83,821.62000028",2025-04-13 10:52:54.675558,Bitcoin,83821.620000278200000000,BTC
10299865,"83,807.21000005",2025-04-13 10:52:29.684568,Bitcoin,83807.210000048200000000,BTC
10299818,"83,804.16999995",2025-04-13 10:52:24.651584,Bitcoin,83804.169999949000000000,BTC
10299779,"83,800.59999977",2025-04-13 10:52:19.666117,Bitcoin,83800.599999769500000000,BTC
10299712,"83,804.16999995",2025-04-13 10:52:14.642214,Bitcoin,83804.169999949000000000,BTC
10299615,"83,776.68500003",2025-04-13 10:51:54.663219,Bitcoin,83776.685000026800000000,BTC
10299562,"83,772.09499972",2025-04-13 10:51:34.735538,Bitcoin,83772.094999724300000000,BTC
10299481,"83,765.79500021",2025-04-13 10:51:19.712982,Bitcoin,83765.795000205400000000,BTC
10299330,"83,759.99499983",2025-04-13 10:50:54.684788,Bitcoin,83759.994999825200000000,BTC
10299269,"83,728.68499970",2025-04-13 10:50:49.666259,Bitcoin,83728.684999704900000000,BTC
10299227,"83,715.13499985",2025-04-13 10:50:34.662388,Bitcoin,83715.134999850300000000,BTC
10299166,"83,709.21499998",2025-04-13 10:50:24.630829,Bitcoin,83709.214999980100000000,BTC
10299111,"83,700.47000016",2025-04-13 10:50:04.638967,Bitcoin,83700.470000159800000000,BTC
10299031,"83,687.89000003",2025-04-13 10:49:44.674495,Bitcoin,83687.890000031300000000,BTC
10298972,"83,664.24499974",2025-04-13 10:49:29.678667,Bitcoin,83664.244999740600000000,BTC
10298916,"83,644.98500007",2025-04-13 10:49:19.674592,Bitcoin,83644.985000065600000000,BTC
10298867,"83,645.09500032",2025-04-13 10:48:59.671448,Bitcoin,83645.095000323400000000,BTC
10298774,"83,660.49499980",2025-04-13 10:48:54.684012,Bitcoin,83660.494999802600000000,BTC
10298712,"83,702.06500028",2025-04-13 10:48:34.684499,Bitcoin,83702.065000280900000000,BTC
10298658,"83,701.03000022",2025-04-13 10:48:24.685676,Bitcoin,83701.030000217700000000,BTC
10298612,"83,714.21000021",2025-04-13 10:48:14.676622,Bitcoin,83714.210000214600000000,BTC
10298537,"83,695.40500001",2025-04-13 10:47:54.668700,Bitcoin,83695.405000012500000000,BTC
10298478,"83,695.22999994",2025-04-13 10:47:49.665409,Bitcoin,83695.229999944000000000,BTC
10298448,"83,683.49000015",2025-04-13 10:47:34.672074,Bitcoin,83683.490000147600000000,BTC
10298409,"83,677.50999971",2025-04-13 10:47:19.634685,Bitcoin,83677.509999707500000000,BTC
10298347,"83,680.92000015",2025-04-13 10:47:09.639004,Bitcoin,83680.920000150100000000,BTC
10298289,"83,681.63499965",2025-04-13 10:46:49.635947,Bitcoin,83681.634999652600000000,BTC
10298192,"83,681.20499992",2025-04-13 10:46:34.658741,Bitcoin,83681.204999922100000000,BTC
